"weight","word","color","url"
"25","【推しの子】","#D12D7E",""
"25","abrAsus","#211815",""
"25","Apple","",""
"25","DEATH NOTE","",""
"25","iPhone","",""
"25","JavaScript","#F0DB4F",""
"25","JELEE","",""
"25","Mac","",""
"25","MIU404","",""
"25","PayPay","#FF0033",""
"25","QuizKnock","#B53832",""
"25","RRR","",""
"25","SHISHAMO","#D32D26",""
"25","Skyrocket Company","",""
"25","SPY×FAMILY","#AFC3BC",""
"25","SwitchBot","#CF4842",""
"25","TypeScript","#3178c6",""
"25","X","",""
"25","Yahoo! JAPAN","#FF0033",""
"25","YOASOBI","",""
"25","Yogibo","",""
"25","YouTube","#FF0000",""
"25","アナと雪の女王","",""
"25","アメトーーク!","",""
"25","オードリー","",""
"25","オールナイトニッポン","",""
"25","オモコロ","#E0352E",""
"25","カフェ","",""
"25","カロリーメイト","#F1C346",""
"25","キングダム ハーツ","",""
"25","けいおん！","#D03B2D",""
"25","ケロロ軍曹","#53AA49",""
"25","さまぁ〜ず","",""
"25","ズートピア","",""
"25","スターバックス","#01714B",""
"25","スティーブ・ジョブズ","",""
"25","たまこまーけっと","",""
"25","たまこラブストーリー","",""
"25","ディズニー","",""
"25","ドラえもん","#4BA6EE",""
"25","バック・トゥ・ザ・フューチャー","",""
"25","はてなブックマーク","#01A5DF",""
"25","ぼっち・ざ・ろっく！","",""
"25","マヂカルラブリー","",""
"25","モヤモヤさまぁ〜ず2","",""
"25","らき☆すた","",""
"25","ラジオ","",""
"25","ローソン","#1F5FA8",""
"25","映画","",""
"25","映画館","",""
"25","怪盗クイーン","",""
"25","喫茶店","",""
"25","結束バンド","",""
"25","江戸川区","#000062",""
"25","埼玉","#DA3832",""
"25","三四郎","",""
"25","守乃まも","",""
"25","新海誠","",""
"25","新宿","",""
"25","水曜日のダウンタウン","",""
"25","星野源","",""
"25","葬送のフリーレン","",""
"25","池袋","",""
"25","超かぐや姫！","",""
"25","電子書籍","",""
"25","東京","#479E4C",""
"25","匿名ラジオ","",""
"25","猫","",""
"25","姫様“拷問”の時間です","",""
"25","僕の心のヤバいやつ","",""
"25","魔法少女まどか☆マギカ","#F09298",""
"25","夢水清志郎","",""
"25","夜のクラゲは泳げない","",""
"25","約束のネバーランド","",""
"25","涼宮ハルヒの消失","#DD433B",""
"25","涼宮ハルヒの憂鬱","#DD433B",""
